square_id,time,time_interval,internet_traffic,sms_all,call_all,time_display
4259,2013-11-02 23:00:00,1383433200000,956.039930719,61.5587206279,41.3980328139,2013-11-02 23:00:00
4259,2013-11-03 00:00:00,1383436800000,1139.31165035,67.4359296501,53.0529212965,2013-11-03 00:00:00
4259,2013-11-03 01:00:00,1383440400000,887.897566911,42.3864881217,26.7771262196,2013-11-03 01:00:00
4259,2013-11-03 02:00:00,1383444000000,813.491209729,32.2631833291,15.7528705153,2013-11-03 02:00:00
4259,2013-11-03 03:00:00,1383447600000,609.642104438,20.9871495678,7.50214319048,2013-11-03 03:00:00
4259,2013-11-03 04:00:00,1383451200000,543.005682931,13.504949847,7.23628329504,2013-11-03 04:00:00
4259,2013-11-03 05:00:00,1383454800000,471.062965442,3.66803892098,4.09984578527,2013-11-03 05:00:00
4259,2013-11-03 06:00:00,1383458400000,456.660375648,6.37702522164,4.85715793043,2013-11-03 06:00:00
4259,2013-11-03 07:00:00,1383462000000,498.318097492,28.9882105105,9.09830056263,2013-11-03 07:00:00
4259,2013-11-03 08:00:00,1383465600000,665.825640402,46.5252198533,31.0741321997,2013-11-03 08:00:00
4259,2013-11-03 09:00:00,1383469200000,768.490973053,58.9958626971,43.0681234309,2013-11-03 09:00:00
4259,2013-11-03 10:00:00,1383472800000,731.967925888,82.2902122189,63.0905379345,2013-11-03 10:00:00
4259,2013-11-03 11:00:00,1383476400000,849.539179941,70.8910581148,70.4235364021,2013-11-03 11:00:00
4259,2013-11-03 12:00:00,1383480000000,915.423519767,60.3739953558,38.4831336473,2013-11-03 12:00:00
4259,2013-11-03 13:00:00,1383483600000,801.30009301,67.4641348911,41.2820482171,2013-11-03 13:00:00
4259,2013-11-03 14:00:00,1383487200000,885.935904579,61.4983155041,45.6984650937,2013-11-03 14:00:00
4259,2013-11-03 15:00:00,1383490800000,1189.36901282,52.7162584312,57.2788679745,2013-11-03 15:00:00
4259,2013-11-03 16:00:00,1383494400000,1024.92831952,70.1469556333,65.4357514332,2013-11-03 16:00:00
4259,2013-11-03 17:00:00,1383498000000,1228.03440792,99.4596981786,77.0631741065,2013-11-03 17:00:00
4259,2013-11-03 18:00:00,1383501600000,1060.24725705,102.509557696,71.1776603153,2013-11-03 18:00:00
4259,2013-11-03 19:00:00,1383505200000,1417.62317051,74.7025975901,57.1816926708,2013-11-03 19:00:00
4259,2013-11-03 20:00:00,1383508800000,1161.19728715,88.430300224,39.5353316398,2013-11-03 20:00:00
4259,2013-11-03 21:00:00,1383512400000,1169.34957648,72.0658163328,28.1151046642,2013-11-03 21:00:00
4259,2013-11-03 22:00:00,1383516000000,1114.49970645,65.6781041561,20.7681112337,2013-11-03 22:00:00
4456,2013-11-02 23:00:00,1383433200000,4542.99810865,255.599598474,113.733676141,2013-11-02 23:00:00
4456,2013-11-03 00:00:00,1383436800000,3925.91914993,114.863066482,64.3331253794,2013-11-03 00:00:00
4456,2013-11-03 01:00:00,1383440400000,2713.68533674,49.6440214778,27.5565955113,2013-11-03 01:00:00
4456,2013-11-03 02:00:00,1383444000000,1959.65833459,22.2050347498,14.8270860866,2013-11-03 02:00:00
4456,2013-11-03 03:00:00,1383447600000,1657.03528164,20.8244375767,6.84491931363,2013-11-03 03:00:00
4456,2013-11-03 04:00:00,1383451200000,1549.07525359,20.0754719771,9.38328113803,2013-11-03 04:00:00
4456,2013-11-03 05:00:00,1383454800000,1473.78902201,10.1429946554,7.19509769197,2013-11-03 05:00:00
4456,2013-11-03 06:00:00,1383458400000,1575.74235507,22.8542123423,14.5118163897,2013-11-03 06:00:00
4456,2013-11-03 07:00:00,1383462000000,1794.11914731,128.723850964,37.2876591154,2013-11-03 07:00:00
4456,2013-11-03 08:00:00,1383465600000,2473.04321059,164.598265212,84.1586744446,2013-11-03 08:00:00
4456,2013-11-03 09:00:00,1383469200000,2680.77686568,175.017944912,152.607520418,2013-11-03 09:00:00
4456,2013-11-03 10:00:00,1383472800000,3645.28289103,295.439909613,225.028505818,2013-11-03 10:00:00
4456,2013-11-03 11:00:00,1383476400000,4308.74083984,284.236019821,270.862744736,2013-11-03 11:00:00
4456,2013-11-03 12:00:00,1383480000000,4117.52690947,253.504405996,204.463019998,2013-11-03 12:00:00
4456,2013-11-03 13:00:00,1383483600000,4034.98276701,302.899851737,200.968402785,2013-11-03 13:00:00
4456,2013-11-03 14:00:00,1383487200000,4311.91923683,278.227671742,203.828276492,2013-11-03 14:00:00
